Raw Text,JSON Text
Stream of thought 1 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 1, ""stream_of_thought"": ""Stream of thought 1 for Burned-out Tech Lead.""}"
Stream of thought 2 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 2, ""stream_of_thought"": ""Stream of thought 2 for Burned-out Tech Lead.""}"
Stream of thought 3 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 3, ""stream_of_thought"": ""Stream of thought 3 for Burned-out Tech Lead.""}"
Stream of thought 4 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 4, ""stream_of_thought"": ""Stream of thought 4 for Burned-out Tech Lead.""}"
Stream of thought 5 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 5, ""stream_of_thought"": ""Stream of thought 5 for Burned-out Tech Lead.""}"
Stream of thought 6 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 6, ""stream_of_thought"": ""Stream of thought 6 for Burned-out Tech Lead.""}"
Stream of thought 7 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 7, ""stream_of_thought"": ""Stream of thought 7 for Burned-out Tech Lead.""}"
Stream of thought 8 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 8, ""stream_of_thought"": ""Stream of thought 8 for Burned-out Tech Lead.""}"
Stream of thought 9 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 9, ""stream_of_thought"": ""Stream of thought 9 for Burned-out Tech Lead.""}"
Stream of thought 10 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 10, ""stream_of_thought"": ""Stream of thought 10 for Burned-out Tech Lead.""}"
Stream of thought 11 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 11, ""stream_of_thought"": ""Stream of thought 11 for Burned-out Tech Lead.""}"
Stream of thought 12 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 12, ""stream_of_thought"": ""Stream of thought 12 for Burned-out Tech Lead.""}"
Stream of thought 13 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 13, ""stream_of_thought"": ""Stream of thought 13 for Burned-out Tech Lead.""}"
Stream of thought 14 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 14, ""stream_of_thought"": ""Stream of thought 14 for Burned-out Tech Lead.""}"
Stream of thought 15 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 15, ""stream_of_thought"": ""Stream of thought 15 for Burned-out Tech Lead.""}"
Stream of thought 16 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 16, ""stream_of_thought"": ""Stream of thought 16 for Burned-out Tech Lead.""}"
Stream of thought 17 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 17, ""stream_of_thought"": ""Stream of thought 17 for Burned-out Tech Lead.""}"
Stream of thought 18 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 18, ""stream_of_thought"": ""Stream of thought 18 for Burned-out Tech Lead.""}"
Stream of thought 19 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 19, ""stream_of_thought"": ""Stream of thought 19 for Burned-out Tech Lead.""}"
Stream of thought 20 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 20, ""stream_of_thought"": ""Stream of thought 20 for Burned-out Tech Lead.""}"
Stream of thought 21 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 21, ""stream_of_thought"": ""Stream of thought 21 for Burned-out Tech Lead.""}"
Stream of thought 22 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 22, ""stream_of_thought"": ""Stream of thought 22 for Burned-out Tech Lead.""}"
Stream of thought 23 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 23, ""stream_of_thought"": ""Stream of thought 23 for Burned-out Tech Lead.""}"
Stream of thought 24 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 24, ""stream_of_thought"": ""Stream of thought 24 for Burned-out Tech Lead.""}"
Stream of thought 25 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 25, ""stream_of_thought"": ""Stream of thought 25 for Burned-out Tech Lead.""}"
Stream of thought 26 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 26, ""stream_of_thought"": ""Stream of thought 26 for Burned-out Tech Lead.""}"
Stream of thought 27 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 27, ""stream_of_thought"": ""Stream of thought 27 for Burned-out Tech Lead.""}"
Stream of thought 28 for Burned-out Tech Lead.,"{""profile_name"": ""Burned-out Tech Lead"", ""profile_description"": ""35-year-old engineering manager in a startup"", ""thought_number"": 28, ""stream_of_thought"": ""Stream of thought 28 for Burned-out Tech Lead.""}"
